_id,OBJECTID,OID,Address,City,County,Zip,Year,Recipient,Approved Loan Amount,Recipient Type,Project Type,Project Status,Estimated Savings ($/yr),Annual Electric Savings (kWh),Lighting,HVAC,Solar,Battery Storage,EV Infrastructure,Other,Project Summary,Utility,Type of Utility,DAC,DDLat,DDLon,DDLat_D,DDLon_D,GlobalID,CreationDate,Creator,EditDate,Editor,x,y,x2,y2
15,17,20,"5313 Road 39, Alpaugh, CA 93201",Alpaugh,Tulare,93201,2018,Alpaugh Unified School District,2100000,School,ECAA-Ed,Completed,131205,656024,No,No,Yes,No,No,No,four separate ground mounted fixed photovoltaic canopy array systems for a total of 410.4 kWdc,Pacific Gas & Electric Company,IOU,No,35.88728400N,119.48634600W,35.887284,-119.486346,0a7a432b-8e14-46ac-86f4-7b475d3f4a78,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:30:00 PM,SLocwood_CAEnergy,-119.486346,35.887284,-13301159.1935,4285122.8876
16,18,21,"777 B St, Hayward, CA 94541",Hayward,Alameda,94541,2018,City of Hayward,2150955,Local Government,ECAA-Reg,Completed,133687,1434436,No,No,Yes,No,No,No,PV system installations at the City's Water Pollution Control Facility,Pacific Gas & Electric Company,IOU,No,37.67092100N,122.08578000W,37.670921,-122.08578,50c2b827-2ad7-4f64-b874-60529989fb44,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:30:00 PM,SLocwood_CAEnergy,-122.08578,37.670921,-13590526.8627,4533041.7248
17,19,22,"480 James Ave, Redwood City, CA 94062",Redwood City,San Mateo,94062,2018,Sequoia Union High School District ,2200000,School,ECAA-Ed,Completed,199000,1277000,No,No,Yes,No,No,No,canopy mounted fixed axis photovoltaic systems for a total of 777kWdc,Pacific Gas & Electric Company,IOU,No,37.48415500N,122.23648500W,37.484155,-122.236485,b0f929fc-a1da-46b4-9c3b-c939211212b8,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:30:00 PM,SLocwood_CAEnergy,-122.236485,37.484155,-13607303.2666,4506808.3354
18,20,25,"1376 Piedmont Rd, San Jose, CA 95132",San Jose,Santa Clara,95132,2017,Berryessa Union School District,911000,School,ECAA-Ed,Completed,51282,202035,Yes,No,No,No,No,No,"install more efficient interior lights, exterior lights and lighting controls",PacifiCorp,IOU,No,37.40219700N,121.84737600W,37.402197,-121.847376,e04a6924-7a36-4005-a6bd-e4bea89301a5,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/21/2023 5:37:00 PM,SLocwood_CAEnergy,-121.847376,37.402197,-13563987.8508,4495317.1237
19,21,26,"1400 Fifth Ave, San Rafael, CA 94901",San Rafael,Marin,94901,2017,City of San Rafael,1178813,Local Government,ECAA-Reg,Completed,175798,1045084,Yes,No,No,No,No,No,"retrofitting or replacing building and street lighting fixtures, and enhancing existing energy management control systems with new sensors and automated analysis",Pacific Gas & Electric Company,IOU,No,37.97483000N,122.53178600W,37.97483,-122.531786,ac26e8c1-5657-4bfa-879a-3a998ee78ac0,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:31:00 PM,SLocwood_CAEnergy,-122.531786,37.97483,-13640176.0235,4575870.746
20,22,27,"12800 Ridge Rd, Sutter Creek, CA 95685",Sutter Creek,Amador,95685,2017,Amador Water Agency,1472000,Special District,ECAA-Reg,Completed,129000,1351000,No,No,No,No,No,Yes,installing a 440kW pelton turbine at qa water transfer pipeline between two reservoirs ,City of Ukiah Electric Utilities Division,POU,No,38.38260090N,120.78909520W,38.3826009,-120.7890952,18a6bd11-45d4-49de-a9a4-636639a6d77a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:31:00 PM,SLocwood_CAEnergy,-120.7890952,38.3826009,-13446180.571,4633616.3748
21,23,28,"1033 5th St, Clovis, CA 93612",Clovis,Fresno,93612,2017,City of Clovis,1840035,Local Government,ECAA-Reg,Completed,128114,769302,Yes,No,No,No,No,No,convert city building interior and exterior lighting to LED lights,Southern California Edison,IOU,No,36.82447830N,119.69560170W,36.8244783,-119.6956017,12aad327-338d-4095-986c-7a26ceb7ddc8,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:31:00 PM,SLocwood_CAEnergy,-119.6956017,36.8244783,-13324453.4314,4414669.4831
22,24,29,"1261 Metz Rd, Soledad, CA 93960",Soledad,Monterey,93960,2017,Soledad Unified School District,3000000,School,ECAA-Ed,Completed,196480,1023654,No,No,Yes,No,No,No,"construct five parking lot canopy solar PV structures, and one ground-mounted PV system",Southern California Edison,IOU,No,36.42757500N,121.31850400W,36.427575,-121.318504,77b39aa3-b0e7-4189-abb3-ed94b6eee03f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:31:00 PM,SLocwood_CAEnergy,-121.318504,36.427575,-13505114.0891,4359615.6561
23,25,30,"200 Fred Kane Dr, Monterey, CA 93940",Monterey,Monterey,93940,2017,Monterey Peninsula Airport District,3000000,Special District,ECAA-Reg,Completed,183643,1450000,No,No,Yes,No,No,No,install an 864 kWdc ground mounted multiple-axis photovoltaic system at the Monterey Regional Airport,Southern California Edison,IOU,No,36.58727600N,121.85035400W,36.587276,-121.850354,99504223-e794-434d-a0e4-d92dc48d197a,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:31:00 PM,SLocwood_CAEnergy,-121.850354,36.587276,-13564319.3603,4381733.4636
24,26,31,"27307 CA-189, Blue Jay, CA 92317",Blue Jay,San Bernardino,92317,2017,Lake Arrowhead Community Services District,3000000,Special District,ECAA-Reg,Completed,242000,2200000,No,No,Yes,No,No,No,939.6 kWdc ground mounted single axis solar photovoltaic electric generation system at the Hesperia Farms Site Solar Facility,Pacific Gas & Electric Company,IOU,No,34.24645400N,117.20742700W,34.246454,-117.207427,8e736b43-dfcc-4cad-9073-73e19812c099,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:31:00 PM,SLocwood_CAEnergy,-117.207427,34.246454,-13047471.0908,4061942.9793
25,27,32,"2400 E Orangewood Ave, Anaheim, CA 92806",Anaheim,Orange,92806,2016,North Net Training Authority,136000,Special District,ECAA-Reg,Completed,8000,46000,No,Yes,No,No,No,No,replace air handling units and to install a new direct digital control system at the existing HVAC system,Turlock Irrigation District,POU,Yes,33.79544350N,117.88152120W,33.7954435,-117.8815212,33aa9d62-dd3e-4cba-92a8-319e646677c7,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:37:00 PM,SLocwood_CAEnergy,-117.8815212,33.7954435,-13122510.9139,4001368.0466
26,28,33,"22675 8th St E, Sonoma, CA 95476",Sonoma,Sonoma,95476,2016,County of Sonoma,410805,Local Government,ECAA-Reg,Completed,24165,119316,No,No,Yes,No,No,No,install a 93kW DC rooftop solar PV system at a country owned fleet operations facility,Pacific Gas & Electric Company,IOU,No,38.25230650N,122.44121940W,38.2523065,-122.4412194,a2488ae9-00d3-4ef1-b522-101c41e03a1f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:37:00 PM,SLocwood_CAEnergy,-122.4412194,38.2523065,-13630094.1957,4615129.8291
27,29,34,"219 N Reinway Ave # 3, Waterford, CA 95386",Waterford,Stanislaus,95386,2016,Waterford Unified School District,708227,School,ECAA-Ed,Completed,47241,375000,Yes,No,No,No,No,No,exterior lighting and interior lighting including control retrofits,San Diego Gas & Electric,IOU,No,37.64006600N,120.77412000W,37.640066,-120.77412,940e6e39-87cb-4d6a-9458-56bb581866ba,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:37:00 PM,SLocwood_CAEnergy,-120.77412,37.640066,-13444513.5394,4528703.2503
28,30,35,"300 W Whitney Ave, Woodlake, CA 93286",Woodlake,Tulare,93286,2016,Woodlake Unified School District,1000000,School,ECAA-Ed,Completed,66420,526600,No,No,Yes,No,No,No,"install 324.4 kW DC rooftop-mounted PV panels at the District's Maintenance, Operations, and Transportation facility",San Diego Gas & Electric,IOU,No,36.41960070N,119.10143920W,36.4196007,-119.1014392,689af9cd-1cc6-4152-b962-622e5d39df31,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:37:00 PM,SLocwood_CAEnergy,-119.1014392,36.4196007,-13258311.5645,4358512.449
29,31,36,"1780 Slatten Ranch Rd, Antioch, CA 94509",Antioch,Contra Costa,94509,2016,Eastern Contra Costa Transit Authority,1355000,Special District,ECAA-Reg,Completed,79700,520400,No,No,Yes,No,No,No,install roof and parking structure mounted PV panels at their facilities,Pacific Gas & Electric Company,IOU,No,37.99448600N,121.76988500W,37.994486,-121.769885,cd9a0297-6fb6-4c40-827c-620051a2e7bb,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:37:00 PM,SLocwood_CAEnergy,-121.769885,37.994486,-13555361.5922,4578646.8989
30,32,37,"1261 Metz Rd, Soledad, CA 93960",Soledad,Monterey,93960,2016,Soledad Unified School District,2000000,School,ECAA-Ed,Completed,100005,745612,No,No,Yes,No,No,No,contruct parking lot solar PV structures and install PV panels totaling 463kW at Soledad High School,Pacific Gas & Electric Company,IOU,No,36.42757500N,121.31850400W,36.427575,-121.318504,02d0d4f1-0c31-4e8d-bbca-7bd0bf4d6f0f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:37:00 PM,SLocwood_CAEnergy,-121.318504,36.427575,-13505114.0891,4359615.6561
31,33,38,"14403 Pacific Ave, Baldwin Park, CA 91706",Baldwin Park,Los Angeles,91706,2016,City of Baldwin Park,2988974,Local Government,ECAA-Reg,Completed,175822,1713535,No,No,Yes,No,No,Yes,"implement energy efficiency upgrades (exterior lightin, pool control automation, high efficiency transformers) and install solar PV panels at city-owned facilities",Pacific Gas & Electric Company,IOU,No,34.08549600N,117.95966400W,34.085496,-117.959664,2371f0b5-2b0c-40ea-ac66-90db724f6f69,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:38:00 PM,SLocwood_CAEnergy,-117.959664,34.085496,-13131209.7306,4040287.8355
32,34,39,"2000 Main St, Huntington Beach, CA 92648",Huntington Beach,Orange,92648,2016,City of Huntington Beach,3000000,Local Government,ECAA-Reg,Completed,290546,3514534,Yes,No,No,No,No,No,fund a street LED lighting retrofit project ,San Diego Gas & Electric,IOU,No,33.67779900N,118.00092000W,33.677799,-118.00092,8e667f55-2382-4aa8-8671-acd527203d27,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:38:00 PM,SLocwood_CAEnergy,-118.00092,33.677799,-13135802.3275,3985619.9214
33,35,40,"350 E K St, Benicia, CA 94510",Benicia,Solano,94510,2016,Benicia Unified School District,3000000,School,ECAA-Ed,Completed,200630,1009210,No,No,Yes,No,No,No,install a 721.35 kW DC PV parking conopy mounted system,Southern California Edison,IOU,No,38.05043470N,122.15166600W,38.0504347,-122.151666,4304ed5b-764b-479c-bca8-cab0c4ea8c52,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:38:00 PM,SLocwood_CAEnergy,-122.151666,38.0504347,-13597861.2587,4586552.9965
34,36,41,"600 8th St, Sacramento, CA 95814",Sacramento,Sacramento,95814,2016,County of Sacramento,3000000,Local Government,ECAA-Reg,Completed,225728,3021788,Yes,No,No,No,No,No,"retrofit 8,,223 high pressure sodium and mercury vapor streetlights with LED streetlights",Southern California Edison,IOU,No,38.58527600N,121.49466900W,38.585276,-121.494669,833ad841-799e-4d51-8968-92ac5392959b,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:38:00 PM,SLocwood_CAEnergy,-121.494669,38.585276,-13524724.6872,4662438.8276
35,38,43,"330 S Main Ave, Fallbrook, CA 92028",Fallbrook,San Diego,92028,2015,North County Fire Protection District,227475,Special District,ECAA-Reg,Completed,16420,67000,No,No,Yes,No,No,No,install 43.7 kW roof-mounted PV panels ,Pacific Gas & Electric Company,IOU,No,33.37967500N,117.25100000W,33.379675,-117.251,50d6a09f-f06d-4004-aa14-0c782cb98686,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:38:00 PM,SLocwood_CAEnergy,-117.251,33.379675,-13052321.615,3945808.5871
36,39,44,"750 Laurie Ave, Santa Clara, CA 95054",Santa Clara,Santa Clara,95054,2015,Montague Elementary School District,419520,School,ECAA-Ed,Completed,21300,142000,No,Yes,No,No,No,Yes,"energy efficiency and renewable energy measures at Montague Elementary School including lighting retrofits, HVAC and AC PV systems",Pacific Gas & Electric Company,IOU,Yes,37.38917000N,121.94654600W,37.38917,-121.946546,a2a7db47-0db5-4d73-944c-07fba1bcae8b,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:38:00 PM,SLocwood_CAEnergy,-121.946546,37.38917,-13575027.4047,4493491.7853
37,40,45,"595 Harbor St, Morro Bay, CA 93442",Morro Bay,San Luis Obispo,93442,2015,City of Morro Bay,562000,Local Government,ECAA-Reg,Completed,35672,320690,No,Yes,Yes,No,No,No,"replace 14 package heating, ventilating and air conditioning units, install programmable thermostats, and install 4 single-axis tracking PV systems",Pacific Gas & Electric Company,POU,No,35.36716480N,120.84682330W,35.3671648,-120.8468233,5d109348-266d-4983-b6f6-f5fdd4952286,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:38:00 PM,SLocwood_CAEnergy,-120.8468233,35.3671648,-13452606.8337,4213889.9978
38,41,46,"809 Center St, Santa Cruz, CA 95060",Santa Cruz,Santa Cruz,95060,2015,City of Santa Cruz,1788433,Local Government,ECAA-Reg,Completed,127063,749431,Yes,Yes,No,No,No,No,"install more efficient interior and exterior lights; streetlights; heating, ventilation and air conditioning improvemtns and high efficiency motors",PacifiCorp,IOU,No,36.97439330N,122.02949600W,36.9743933,-122.029496,19d5507f-1ef6-4636-9afc-bef55e768b2f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:38:00 PM,SLocwood_CAEnergy,-122.0294906,36.97439044,-13584260.7554,4435537.7458
39,42,47,"605 Sylvan Ave, Modesto, CA 95350",Modesto,Stanislaus,95350,2015,Sylvan Unified School District,1799839,School,ECAA-Ed,Completed,89992,596649,No,No,No,No,No,Yes,energy efficiency measures,Turlock Irrigation District,POU,Yes,37.68942130N,120.98562290W,37.6894213,-120.9856229,f7b39499-0fd3-4e9d-bfe4-2534c19f595f,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:39:00 PM,SLocwood_CAEnergy,-120.9856229,37.6894213,-13468057.9345,4535643.8888
40,43,48,"9420 Putney Dr, Durham, CA 95938",Durham,Butte,95938,2015,Durham Unified School District,2000000,School,ECAA-Ed,Completed,175288,917012,No,No,Yes,No,No,No,install a total of 575.1 kW of solar PV,Pacific Gas & Electric Company,IOU,No,39.64755020N,121.80207030W,39.6475502,-121.8020703,9291f3f3-63ee-413c-a793-f2f63e9a0e68,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:39:00 PM,SLocwood_CAEnergy,-121.8020703,39.6475502,-13558944.4434,4814856.6432
41,44,49,"4801 Sisk Rd, Salida, CA 95368",Salida,Stanislaus,95368,2015,Salida Union School District,2054469,School,ECAA-Ed,Completed,104177,657258,No,No,Yes,No,No,Yes,energy efficiency measures (HVAC and cool roof installation) and PV installations at multiple District facilities,Pacific Gas & Electric Company,IOU,No,37.70766330N,121.07801670W,37.7076633,-121.0780167,1957e7d7-3ebf-4e35-9915-149d21ea29a0,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:39:00 PM,SLocwood_CAEnergy,-121.0780167,37.7076633,-13478343.1653,4538210.3573
42,45,50,"1055 Monterey St, San Luis Obispo, CA 93408",San Luis Obispo,San Luis Obispo,93408,2015,County of San Luis Obispo,2200000,Local Government,ECAA-Reg,Completed,181497,1150000,Yes,Yes,No,No,No,Yes,"retrofit lighting fixtures and controls, upgrade central plant chillers, continuously retrocommission air handling systems, and install kitchen exhaust hood controls",Sacramento Municipal Utility District,POU,Yes,35.28203620N,120.66002220W,35.2820362,-120.6600222,f0f78684-6999-43b4-ace6-0bde6aaffabb,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:39:00 PM,SLocwood_CAEnergy,-120.6600222,35.2820362,-13431812.2304,4202275.0974
43,46,51,"2211 Washington Ave, Oroville, CA 95966",Oroville,Butte,95966,2015,Oroville Union High School District,2800000,School,ECAA-Ed,Completed,302534,1357662,No,No,Yes,No,No,No,install 839 kW roof and parking structure mounted PV panels at Oroville Hight and Las Plumas High Schools,Pacific Gas & Electric Company,IOU,No,39.50935800N,121.54680600W,39.509358,-121.546806,0c560759-5e10-40bf-afb4-861434fe4ffd,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/19/2023 5:39:00 PM,SLocwood_CAEnergy,-121.546806,39.509358,-13530528.5515,4794897.5949
44,47,52,"8624 Segrue Rd, Lamont, CA 93241",Lamont,Kern,93241,2015,Lamont Public Utility District,2900767,Special District,ECAA-Reg,Completed,271866,1857941,No,No,Yes,No,No,No,"install a 1,006.5 kW DC ground mounted single-axis tracking solar PV system at the District wastewater treatment plant",Southern California Edison,IOU,No,35.25699600N,118.90902700W,35.256996,-118.909027,ae7f879f-6453-49a4-ad53-7bca7510f890,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/20/2023 7:04:00 PM,SLocwood_CAEnergy,-118.909027,35.256996,-13236892.3364,4198860.9512
45,48,53,"1163 E 7th St, Chico, CA 95928",Chico,Butte,95928,2015,Chico Unified School District,3000000,School,ECAA-Ed,Completed,255407,1300000,No,No,Yes,No,No,No,install solar PV panels at 5 campuses ,Southern California Edison,IOU,No,39.73376350N,121.82578820W,39.7337635,-121.8257882,4d48ba76-b911-4a7a-9e18-a26058907ce2,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/20/2023 7:04:00 PM,SLocwood_CAEnergy,-121.8257882,39.7337635,-13561584.7079,4827328.6075
46,49,54,"12345 El Monte Rd, Los Altos Hills, CA 94022",Los Altos Hills,Santa Clara,94022,2015,Sequoias Community College District,3000000,College,ECAA-Reg,Completed,177388,1735397,No,No,Yes,No,No,No,install solar PV panels at 2 campuses ,Southern California Edison,IOU,No,37.36129900N,122.12695900W,37.361299,-122.126959,e05e9cfe-89c6-4dff-b03e-edc509179fe9,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/20/2023 7:04:00 PM,SLocwood_CAEnergy,-122.126959,37.361299,-13595110.888,4489587.5761
47,50,55,"23 Russell Blvd, Davis, CA 95616",Davis,Yolo,95616,2015,City of Davis,3000000,Local Government,ECAA-Reg,Completed,220065,1124592,Yes,No,No,No,No,No,energy efficient street light retrofit project ,Pacific Gas & Electric Company,POU,No,38.54663630N,121.74682850W,38.5466363,-121.7468285,18402e0a-f770-42d4-979b-ee7d6caabf32,8/22/2022 3:59:00 PM,mlaw_CAEnergy,7/20/2023 7:05:00 PM,SLocwood_CAEnergy,-121.7468285,38.5466363,-13552794.9543,4656937.611
